id,name,description,nutrition_benifits,dishtype_id,user_added_id,prep_time,cook_time,servings,meal_type,cuisine_id,category_id,ingredients,directions,total_nutrition_value,recipe_tags,benefits,is_recipe_ready,recipe_device,created_at,updated_at
150,Keto Sticky Lemon Chicken with Garlic Green Beans,,,4,c950336e-c584-4145-b787-5965ea4e09cb,10,20,2,Dinner,691,1,"<p>For the chicken -&nbsp;</p>

<ul>
	<li>1 Tablespoon of ghee (15 ml), to cook with</li>
	<li>4 cloves of garlic (12 g), minced or finely diced</li>
	<li>0.5 medium onion (55 g), chopped</li>
	<li>2 chicken breasts (400 g), diced</li>
	<li>0.25 cup of fresh parsley (4 g), chopped</li>
	<li>3 Tablespoons of lemon juice (45 ml)</li>
	<li>1 Tablespoon of gluten-free tamari sauce or coconut aminos (15 ml)</li>
	<li>Salt and pepper, to taste</li>
</ul>

<p>For the green beans -</p>

<ul>
	<li>1 Tablespoon of avocado oil (15 ml), to cook with</li>
	<li>4 oz of green beans (112 g), chopped&nbsp;</li>
	<li>4 cloves of garlic (12 g), minced or finely diced</li>
	<li>1 Tablespoon of gluten-free tamari sauce or coconut aminos (15 ml)</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>For the chicken, mince or finely dice the garlic, chop the onion and fresh parsley, and dice the chicken breasts. For the green beans, chop the green beans and mince or finely dice the garlic.</li>
	<li>In a large nonstick skillet, add the avocado oil and saute the green beans, garlic, and tamari sauce or coconut aminos over medium-high heat until tender. Season with salt and pepper, to taste. Remove from the skillet and set aside.</li>
	<li>In the same skillet, melt the ghee over high heat. Add the garlic and onion to the skillet. Stir-fry until the onions are soft, approximately 2 to 3 minutes.</li>
	<li>Add the diced chicken to the skillet and stir-fry for 5 minutes. Add additional ghee, if needed.</li>
	<li>Add the fresh parsley, lemon juice, and tamari sauce or coconut aminos to the skillet. Continue to cook, stirring constantly, until the chicken is cooked through. Season with salt and pepper, if desired. Check with a meat thermometer that the internal temperature of the chicken reaches 165 F (75 C).&nbsp;</li>
	<li>Serve the sticky chicken and the sauce with the green beans.</li>
</ol>",,,,yes,skillet,2022-06-28 13:13:09,2023-09-15 07:27:54
151,"Keto Chicken ""Couscous"" Salad with Peppers",,,4,c950336e-c584-4145-b787-5965ea4e09cb,10,15,2,Lunch,692,1,"<ul>
	<li>2 Tablespoons of coconut oil (30 ml), divided, to cook with</li>
	<li>2 chicken breasts (400 g), diced</li>
	<li>0.5 head of cauliflower (300 g), processed into rice-like pieces</li>
	<li>1 Tablespoon of olive oil (15 ml)</li>
	<li>1 Tablespoon of lemon juice (15 ml)</li>
	<li>0.5 cucumber (110 g), diced</li>
	<li>1 medium bell pepper (120 g), diced</li>
	<li>4 green onions (20 g), finely chopped</li>
	<li>0.5 cup of fresh parsley (8 g), chopped</li>
	<li>2 cloves of garlic (6 g), minced or finely diced</li>
	<li>2 teaspoons of cumin powder (4 g)</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>Dice the chicken breasts, cucumber, and bell pepper. Finely chop the green onions. Chop the fresh parsley. Mince or finely dice the garlic.</li>
	<li>In a large skillet, melt 1 Tablespoon (15 ml) of coconut oil over medium-high heat. Add the chicken and saute until fully cooked, about 6 to 8 minutes. Season with salt and pepper, to taste. Check with a meat thermometer that the internal temperature of the chicken reaches 165 F (75 C). Set aside.</li>
	<li>In the same skillet, melt the remaining 1 Tablespoon (15 ml) of coconut oil. Add the cauliflower and saute until just soft, about 5 to 6 minutes.</li>
	<li>In a large bowl, combine the chicken, cauliflower, and the remaining ingredients. Season with salt and pepper, to taste.</li>
</ol>",,,,yes,skillet,2022-06-28 13:13:11,2023-09-15 07:29:01
153,Keto Burgundy Beef Stew,,,4,c950336e-c584-4145-b787-5965ea4e09cb,10,90,4,Dinner,692,1,"<ul>
	<li>1.75 lbs of beef stew meat (788 g)</li>
	<li>4 cups of beef broth (960 ml)</li>
	<li>2 carrots (100 g), diced</li>
	<li>4 oz of green beans (112 g), diced&nbsp;</li>
	<li>0.5 medium onion (55 g), diced</li>
	<li>2 Tablespoons of cumin powder (12 g)</li>
	<li>1 Tablespoon of turmeric (6 g)</li>
	<li>1 Tablespoon of garlic powder (10 g)</li>
	<li>1 teaspoon of ginger powder (2 g)</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>Dice the carrots, green beans and onion.</li>
	<li>Add the stew ingredients to a large pot. Cover and simmer on medium heat for 90 minutes, stirring occasionally, until the beef is fork-tender. Season with salt and pepper, to taste.</li>
</ol>",,,,yes,pot,2022-06-28 13:13:21,2023-09-15 08:43:42
154,Keto Spaghetti and Meatballs,,,4,c950336e-c584-4145-b787-5965ea4e09cb,10,30,2,Dinner,690,1,"<ul>
	<li>0.75 lb of ground beef (338 g)</li>
	<li>1 medium egg, whisked</li>
	<li>1 Tablespoon of garlic powder (10 g)</li>
	<li>1 Tablespoon of onion powder (7 g)</li>
	<li>1 Tablespoon of olive oil (15 ml), to cook with</li>
	<li>1 small tomato (90 g), diced</li>
	<li>0.25 medium onion (28 g), diced</li>
	<li>0.25 cup of fresh basil leaves (8 g), chopped</li>
	<li>1 zucchini (120 g), peeled</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>Whisk the egg. Dice the tomato and onion. Chop the fresh basil leaves. Peel the zucchini.</li>
	<li>Preheat the oven to 350 F (175 C).</li>
	<li>In a large mixing bowl, combine the ground beef, egg, garlic powder, and onion powder. Season with salt and pepper, to taste. Form the mixture into small meatballs and place on a parchment-lined rimmed baking sheet.</li>
	<li>Place in the oven and bake for 25 minutes. Check with a meat thermometer that the internal temperature of the meatballs reaches 165 F (75 C).</li>
	<li>Meanwhile, in a small saucepan, add the olive oil over medium heat. Add the tomato, onion and fresh basil to the saucepan and saute until the tomato is soft.</li>
	<li>Add the meatballs to the saucepan, stirring carefully to not break the meatballs, and simmer for 5 minutes. Season with salt and pepper, to taste.</li>
	<li>Make the zucchini &ldquo;noodles&rdquo; by using the shredding attachment of a food processor or a spiralizer or else using a potato peeler to create pasta-like strands or shreds.</li>
	<li>Divide zucchini &ldquo;noodles&rdquo; onto 2 plates and top with the meatballs and sauce.</li>
</ol>",,,,yes,oven,2022-06-28 13:13:23,2023-09-15 07:53:31
155,Keto Dijon Smothered Drumsticks with Roasted Vegetables,,,4,c950336e-c584-4145-b787-5965ea4e09cb,15,30,4,Dinner,690,1,"<p>For the chicken -</p>

<ul>
	<li>1 Tablespoon of ghee (15 ml), to cook with</li>
	<li>4 chicken drumsticks (with skin on) (500 g)</li>
	<li>0.25 cup of chicken broth (60 ml)</li>
	<li>0.25 cup of coconut cream (60 ml) (from the top of 1 can of refrigerated coconut milk)</li>
	<li>2 Tablespoons of Dijon mustard (30 ml)</li>
	<li>Salt and pepper, to taste</li>
</ul>

<p>For the roasted vegetables -&nbsp;</p>

<ul>
	<li>0.5 head of cauliflower (300 g), chopped into small florets</li>
	<li>2 zucchinis (240 g), chopped</li>
	<li>1 medium onion (110 g), chopped</li>
	<li>3 Tablespoons of olive oil (45 ml)</li>
	<li>1 Tablespoon of Italian seasoning (3 g)</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>Preheat the oven to 350 F (175 C).</li>
	<li>In a bowl, toss the cauliflower, zucchinis and onion with the olive oil and Italian seasoning. Season with salt and pepper, to taste. Place the vegetables in a single layer on a rimmed baking tray.&nbsp;</li>
	<li>Place the baking tray in the oven and roast for 30 minutes or until vegetables are tender to your liking.&nbsp;</li>
	<li>Meanwhile, generously season the chicken drumsticks with salt and pepper.</li>
	<li>In a large nonstick skillet, melt the ghee over medium-high heat. Place the drumsticks in the skillet and brown on all sides, about 5 to 7 minutes. Remove from skillet and set aside</li>
	<li>Reduce the heat to medium-low and add the chicken broth, coconut cream, and mustard to the skillet. Return the drumsticks to the skillet. Season with salt and pepper, to taste.</li>
	<li>Cover and cook for 20 to 25 minutes, turning the drumsticks after 10 minutes, until cooked through. Check with a meat thermometer that the internal temperature is 165 F (75 C).</li>
	<li>Serve the drumsticks and the sauce with the roasted vegetables.</li>
</ol>",,,,yes,skillet,2022-06-28 13:13:26,2023-09-15 08:04:55
156,Keto Shrimp and Mushroom Stir-Fry,,,4,c950336e-c584-4145-b787-5965ea4e09cb,10,10,2,Lunch,691,1,"<ul>
	<li>1 Tablespoon of avocado oil (15 ml), to cook with</li>
	<li>1 lb of shrimp (450 g), defrosted if frozen, peeled and deveined</li>
	<li>8 white button mushrooms (80 g), chopped</li>
	<li>2 cloves of garlic (6 g), minced or finely diced</li>
	<li>4 green onions (20 g), chopped</li>
	<li>1 Tablespoon of gluten-free tamari sauce or coconut aminos (15 ml)</li>
	<li>1 teaspoon of sesame oil (5 ml)</li>
	<li>1 teaspoon of vinegar (5 ml) (of your choice)</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>Peel and devein the shrimp, defrost if frozen. Chop the mushrooms and onions. Mince or finely dice the garlic.&nbsp;</li>
	<li>Heat the avocado oil in a large skillet over medium-high heat.&nbsp;</li>
	<li>Add the shrimp, mushrooms, garlic, and green onions. Stir-fry until the shrimp are pink and opaque and the mushrooms are slightly brown, about 4 to 5 minutes.</li>
	<li>Add the tamari sauce or coconut aminos, sesame oil, and vinegar to the skillet. Stir-fry for 2 to 3 additional minutes. Season with salt and pepper, to taste.</li>
</ol>",,,,yes,skillet,2022-06-28 13:13:27,2023-09-15 07:54:47
157,"Keto Fried ""Rice"" with Ham",,,4,c950336e-c584-4145-b787-5965ea4e09cb,10,10,2,Lunch,691,1,"<ul>
	<li>2 Tablespoons of avocado oil (30 ml), to cook with</li>
	<li>0.5 head of cauliflower (300 g), processed into rice-like pieces</li>
	<li>1 carrot (50 g), diced</li>
	<li>2 green onions (10 g), diced</li>
	<li>12 slices of ham (336 g), diced</li>
	<li>2 Tablespoons of gluten-free tamari sauce or coconut aminos (30 ml)</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>Add the avocado oil to a large nonstick skillet over medium-high heat.</li>
	<li>Add the cauliflower, carrot, green onions, and ham to the skillet. Cook, stirring frequently, until the vegetables are soft and the ham is warmed through, about 5 to 8 minutes.</li>
	<li>Add the tamari sauce or coconut aminos to the skillet and continue to cook for an additional 1 to 2 minutes. Season with salt and pepper, to taste.</li>
</ol>",,,,yes,skillet,2022-06-28 13:13:29,2023-09-15 08:05:57
158,Keto Pan-Fried Bacon Asparagus with Hollandaise Sauce,,,4,c950336e-c584-4145-b787-5965ea4e09cb,10,20,2,Breakfast,690,1,"<ul>
	<li>2 medium eggs, yolks separated from the egg whites</li>
	<li>0.5 Tablespoon of lemon juice (8 ml)</li>
	<li>4 Tablespoons of ghee (60 ml), melted</li>
	<li>8 slices of bacon (224 g), diced</li>
	<li>10 spears of asparagus (160 g), diced</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>In a bowl, whisk the egg yolks, lemon juice, and salt, to taste, until smooth.</li>
	<li>Add the egg mixture to a small saucepan over very low heat. Slowly drizzle the melted ghee into the saucepan, whisking continuously, until the sauce is thickened and doubled in volume. Remove from heat and season with additional salt and pepper, if desired. Set aside.</li>
	<li>In a large skillet, cook the bacon over medium-high heat until crispy, about 4 to 5 minutes. Remove the bacon from the skillet and set aside.</li>
	<li>In the same skillet with the bacon grease, add the asparagus and saute until tender to your liking, about 3 to 5 minutes.</li>
	<li>Divide the asparagus between 2 plates and top with bacon and Hollandaise sauce.</li>
</ol>",,,,yes,skillet,2022-06-28 13:13:30,2023-09-15 08:07:32
160,Keto Garlic Burgers,,,4,c950336e-c584-4145-b787-5965ea4e09cb,10,20,4,Dinner,690,1,"<ul>
	<li>0.5 medium onion (55 g), minced</li>
	<li>1.5 lbs of ground beef (675 g)</li>
	<li>1 medium egg, whisked</li>
	<li>8 cloves of garlic (24 g), minced or finely diced</li>
	<li>2 Tablespoons of mustard (30 ml), to serve with</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>Squeeze any excess moisture from the onion.</li>
	<li>In a bowl, combine the onion, ground beef, egg and garlic. Form the beef mixture into 8 patties.</li>
	<li>In batches, grill or pan-fry the burgers over high heat for 3 to 4 minutes per side and reach an internal temperature of 145 F (63 C) for medium. Season with salt and pepper, to taste.</li>
	<li>Serve the garlic burgers with the mustard.</li>
</ol>",,,,yes,grill,2022-06-28 13:14:08,2023-09-15 08:47:32
164,Keto Shrimp Scampi with Linguine,,,4,c950336e-c584-4145-b787-5965ea4e09cb,10,10,2,Dinner,688,1,"<ul>
	<li>1 Tablespoon of ghee (15 ml), to cook with</li>
	<li>0.25 medium onion (28 g), diced</li>
	<li>4 cloves of garlic (12 g), minced or finely diced</li>
	<li>0.75 lb of shrimp (338 g), defrosted if frozen, peeled and deveined</li>
	<li>1 Tablespoon of lemon juice (15 ml)</li>
	<li>1 zucchini (120 g), peeled</li>
	<li>2 Tablespoons of olive oil (30 ml)</li>
	<li>Salt and pepper, to taste</li>
</ul>","<ol>
	<li>In a nonstick skillet, melt the ghee over medium-high heat. Add the onion and garlic to the skillet. Saute until the onion is translucent, about 1 to 2 minutes.</li>
	<li>Add the shrimp to the skillet. Saute until the shrimp are pink and opaque, about 3 to 5 minutes. Add the lemon juice and season with salt and pepper, to taste. Remove from the heat.</li>
	<li>Make the zucchini &ldquo;noodles&rdquo; by using the shredding attachment of a food processor or a spiralizer or else using a potato peeler to create pasta-like strands or shreds.</li>
	<li>Toss the zucchini &ldquo;noodles&rdquo; in the olive oil. Divide between 2 plates and top with equal amounts of the shrimp scampi.</li>
</ol>",,,,yes,skillet,2022-06-28 13:22:01,2023-09-15 08:10:50
