id,name,protiens,calories,fat,total_carbs,fiber,sugar,net_carbs,portion,unit,created_by,edit_by,created_at,updated_at,glycemic_index
3,salmon (raw- with skin on),21,127,4,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-03-28 14:39:53,2023-08-30 18:51:52,0.0
26,chicken breast,23,120,3,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:02,2023-08-04 08:02:29,0.0
27,beef (ground),17,247,19,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:03,2023-08-15 05:51:09,0.0
28,onion,1,40,0,9,2,4,8,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:05,2023-08-30 11:04:22,10.0
29,spinach,3,23,0,4,2,0,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:06,2023-08-04 09:19:23,15.0
30,tuna,23,144,5,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:08,2023-08-30 10:51:56,0.0
31,shrimp,12,45,1,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:09,2023-08-31 10:01:05,0.0
32,cod,18,80,1,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:11,2023-08-30 18:03:32,0.0
33,bacon,14,393,37,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:13,2023-08-04 09:34:17,0.0
34,beef steak (skirt steak),29,268,17,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:14,2023-08-15 06:10:07,0.0
36,beef liver,20,133,4,4,0,0,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:17,2023-08-15 03:31:40,0.0
39,chicken drumsticks (with skin on),18,161,9,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:22,2023-08-04 10:03:11,0.0
40,pork tenderloin,21,116,4,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:23,2023-09-12 05:53:45,0.0
41,salmon (smoked),18,117,4,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:25,2023-08-30 18:52:01,0.0
42,egg,6,72,5,0,0,0,0,50,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:26,2023-08-30 12:13:44,0.0
43,ham (uncured),18,125,4,2,0,0,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:28,2023-08-31 08:18:56,0.0
44,beef strips,21,223,15,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:29,2023-08-15 06:12:44,0.0
45,chicken (ground),20,124,5,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:31,2023-08-15 08:43:26,0.0
46,pork chops,31,195,7,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:32,2023-09-01 11:51:04,0.0
47,salmon,22,146,6,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:34,2023-08-30 18:52:11,0.0
48,anchovies in olive oil,27,267,17,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:36,2023-08-29 12:58:51,0.0
49,turkey breasts,23,114,2,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:37,2023-09-20 07:44:03,0.0
50,beef round (beef stew chunks),29,191,7,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:39,2023-08-15 06:11:10,0.0
51,lamb (ground),17,282,23,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:40,2023-08-31 08:22:12,0.0
52,pork shoulder,22,128,4,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:42,2023-09-12 06:11:30,0.0
53,chicken (whole),19,214,15,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:43,2023-08-15 08:44:48,0.0
54,chicken thighs (with skin),17,221,17,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:45,2023-08-04 11:43:14,0.0
55,sausage,9,205,16,1,0,1,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:46,2023-08-31 09:55:21,30.0
56,beef short ribs (boneless),20,179,11,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:48,2023-08-12 20:13:05,0.0
57,chicken wings,18,191,13,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:49,2023-08-04 11:49:04,0.0
58,squid (calamari),16,92,1,3,0,0,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:51,2023-08-31 08:09:48,0.0
59,pork belly,9,518,54,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:52,2023-09-08 09:14:05,0.0
60,whitefish (raw),19,134,6,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:54,2023-08-31 10:08:18,0.0
61,avocado,2,160,15,9,7,1,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:56,2023-08-12 09:53:42,15.0
62,tomato (cherry),0,27,0,6,2,5,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:57,2023-08-15 08:15:02,30.0
63,cilantro (coriander),0,2,0,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:52:59,2023-08-31 02:05:04,3.0
64,bell pepper,1,20,0,5,2,2,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:00,2023-08-30 13:07:39,15.0
65,broccoli (broccolini),3,34,0,7,3,2,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:02,2023-08-15 06:32:40,15.0
66,green onion (scallions or spring onion),2,32,0,7,3,2,5,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:03,2023-08-30 11:04:09,0.0
67,lime,1,30,0,11,3,2,8,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:05,2023-09-08 09:14:11,32.0
68,garlic,1,15,0,3,0,0,3,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:06,2023-08-30 12:23:20,10.0
69,cabbage,1,25,0,6,3,3,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:08,2023-08-04 16:14:05,10.0
70,lemon,1,29,0,9,3,3,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:09,2023-09-03 01:03:34,20.0
71,mushrooms (white button),3,22,0,3,1,2,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:11,2023-08-15 07:43:53,10.0
72,carrot,1,41,0,10,3,5,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:12,2023-08-04 16:24:22,16.0
73,zucchini,1,17,0,3,1,3,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:14,2023-08-30 10:56:43,15.0
74,ginger,0,8,0,2,0,0,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:16,2023-08-30 15:44:08,10.0
75,salad leaves,2,21,0,3,2,0,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:17,2023-08-30 13:04:15,15.0
76,orange,1,47,0,12,2,9,10,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:19,2023-09-03 18:58:25,35.0
