id,name,cleaned_incredients
150,Keto Sticky Lemon Chicken with Garlic Green Beans,"For the chicken - 1 Tablespoon of ghee (15 ml), to cook with 4 cloves of garlic (12 g), minced or finely diced 0.5 medium onion (55 g), chopped 2 chicken breasts (400 g), diced 0.25 cup of fresh parsley (4 g), chopped 3 Tablespoons of lemon juice (45 ml) 1 Tablespoon of gluten-free tamari sauce or coconut aminos (15 ml) Salt and pepper, to taste For the green beans - 1 Tablespoon of avocado oil (15 ml), to cook with 4 oz of green beans (112 g), chopped 4 cloves of garlic (12 g), minced or finely diced 1 Tablespoon of gluten-free tamari sauce or coconut aminos (15 ml) Salt and pepper, to taste"
151,"Keto Chicken ""Couscous"" Salad with Peppers","2 Tablespoons of coconut oil (30 ml), divided, to cook with 2 chicken breasts (400 g), diced 0.5 head of cauliflower (300 g), processed into rice-like pieces 1 Tablespoon of olive oil (15 ml) 1 Tablespoon of lemon juice (15 ml) 0.5 cucumber (110 g), diced 1 medium bell pepper (120 g), diced 4 green onions (20 g), finely chopped 0.5 cup of fresh parsley (8 g), chopped 2 cloves of garlic (6 g), minced or finely diced 2 teaspoons of cumin powder (4 g) Salt and pepper, to taste"
153,Keto Burgundy Beef Stew,"1.75 lbs of beef stew meat (788 g) 4 cups of beef broth (960 ml) 2 carrots (100 g), diced 4 oz of green beans (112 g), diced 0.5 medium onion (55 g), diced 2 Tablespoons of cumin powder (12 g) 1 Tablespoon of turmeric (6 g) 1 Tablespoon of garlic powder (10 g) 1 teaspoon of ginger powder (2 g) Salt and pepper, to taste"
154,Keto Spaghetti and Meatballs,"0.75 lb of ground beef (338 g) 1 medium egg, whisked 1 Tablespoon of garlic powder (10 g) 1 Tablespoon of onion powder (7 g) 1 Tablespoon of olive oil (15 ml), to cook with 1 small tomato (90 g), diced 0.25 medium onion (28 g), diced 0.25 cup of fresh basil leaves (8 g), chopped 1 zucchini (120 g), peeled Salt and pepper, to taste"
155,Keto Dijon Smothered Drumsticks with Roasted Vegetables,"For the chicken - 1 Tablespoon of ghee (15 ml), to cook with 4 chicken drumsticks (with skin on) (500 g) 0.25 cup of chicken broth (60 ml) 0.25 cup of coconut cream (60 ml) (from the top of 1 can of refrigerated coconut milk) 2 Tablespoons of Dijon mustard (30 ml) Salt and pepper, to taste For the roasted vegetables - 0.5 head of cauliflower (300 g), chopped into small florets 2 zucchinis (240 g), chopped 1 medium onion (110 g), chopped 3 Tablespoons of olive oil (45 ml) 1 Tablespoon of Italian seasoning (3 g) Salt and pepper, to taste"
156,Keto Shrimp and Mushroom Stir-Fry,"1 Tablespoon of avocado oil (15 ml), to cook with 1 lb of shrimp (450 g), defrosted if frozen, peeled and deveined 8 white button mushrooms (80 g), chopped 2 cloves of garlic (6 g), minced or finely diced 4 green onions (20 g), chopped 1 Tablespoon of gluten-free tamari sauce or coconut aminos (15 ml) 1 teaspoon of sesame oil (5 ml) 1 teaspoon of vinegar (5 ml) (of your choice) Salt and pepper, to taste"
157,"Keto Fried ""Rice"" with Ham","2 Tablespoons of avocado oil (30 ml), to cook with 0.5 head of cauliflower (300 g), processed into rice-like pieces 1 carrot (50 g), diced 2 green onions (10 g), diced 12 slices of ham (336 g), diced 2 Tablespoons of gluten-free tamari sauce or coconut aminos (30 ml) Salt and pepper, to taste"
158,Keto Pan-Fried Bacon Asparagus with Hollandaise Sauce,"2 medium eggs, yolks separated from the egg whites 0.5 Tablespoon of lemon juice (8 ml) 4 Tablespoons of ghee (60 ml), melted 8 slices of bacon (224 g), diced 10 spears of asparagus (160 g), diced Salt and pepper, to taste"
160,Keto Garlic Burgers,"0.5 medium onion (55 g), minced 1.5 lbs of ground beef (675 g) 1 medium egg, whisked 8 cloves of garlic (24 g), minced or finely diced 2 Tablespoons of mustard (30 ml), to serve with Salt and pepper, to taste"
164,Keto Shrimp Scampi with Linguine,"1 Tablespoon of ghee (15 ml), to cook with 0.25 medium onion (28 g), diced 4 cloves of garlic (12 g), minced or finely diced 0.75 lb of shrimp (338 g), defrosted if frozen, peeled and deveined 1 Tablespoon of lemon juice (15 ml) 1 zucchini (120 g), peeled 2 Tablespoons of olive oil (30 ml) Salt and pepper, to taste"
165,Keto Avocado Smoked Salmon Salad,"1 large avocado (200 g), pit removed and flesh scooped out 2 Tablespoons of olive oil (30 ml) 1 Tablespoon of lemon juice (15 ml) 4 oz of smoked salmon (112 g) Salt and pepper, to taste"
167,Keto Simple Steak Fajitas,"2 Tablespoons of ghee (30 ml), to cook with 2 medium bell peppers (240 g), sliced 0.5 medium onion (55 g), sliced 2 beef steaks (400 g), cubed 0.5 Tablespoon of garlic powder (5 g) 0.5 Tablespoon of onion powder (4 g) 2 teaspoons of cumin powder (4 g) Salt and pepper, to taste"
168,Keto Thai Noodle Soup,"2 Tablespoons of coconut oil (30 ml), to cook with 2 green onions (10 g), diced 4 cups of chicken broth (960 ml) 2 Tablespoons of lime juice (30 ml) 1 teaspoon of hot sauce (5 ml) (optional) 4 medium eggs (196 g), whisked 0.25 cup of fresh basil leaves (8 g), finely chopped Salt and pepper, to taste"
169,Keto Salmon Fish Cakes with Creamy Dill Sauce,"For salmon fish cakes - 4 cans of salmon (680 g), drained and flaked 2 Tablespoons of fresh dill (6 g), finely chopped 4 medium eggs (196 g), whisked 0.25 cup of coconut flour (28 g) 0.25 cup of shredded coconut (20 g) 0.25 cup of coconut oil (60 ml) Salt and pepper, to taste For cooking the fish cakes - 2 Tablespoons of coconut oil (30 ml) For creamy dill sauce - 0.25 cup of mayo (60 ml) 0.25 cup of coconut milk (60 ml) (from a room temperature can) 2 cloves of garlic (6 g), minced or finely diced 2 teaspoons of fresh dill (2 g), chopped Salt and pepper, to taste"
170,Keto Spicy Basil Stir-Fry,"For the stir-fry - 1 Tablespoon of avocado oil (15 ml), to cook with 1 medium bell pepper (120 g), diced 0.5 medium onion (55 g), diced 1 chili pepper (14 g), seeds removed and finely diced (optional) 2 cloves of garlic (6 g), minced or finely diced 0.75 lb of ground beef (338 g) 2 Tablespoons of gluten-free tamari sauce or coconut aminos (30 ml) 0.25 cup of fresh basil leaves (8 g), chopped Salt and pepper, to taste For the cauliflower “rice” - 0.5 head of cauliflower (300 g), processed into rice-like pieces 1 Tablespoon of coconut oil (15 ml), to cook with Salt, to taste"
171,Keto Beef Zucchini Boats,"2 zucchinis (240 g), cut in half lengthwise and seeds removed 2 Tablespoons of olive oil (30 ml), divided 2 cloves of garlic (6 g), minced or finely diced 0.25 medium onion (28 g), diced 0.5 lb of ground beef (225 g) 2 small tomatoes (180 g), diced Salt and pepper, to taste"
172,Keto Fattoush Salad,"2 Tablespoons of coconut oil (30 ml), to cook with 1 chicken breast (200 g), diced 1 cucumber (220 g), diced 6 cherry tomatoes (102 g), halved 0.5 medium onion (55 g), diced 0.25 cup of fresh parsley (4 g), chopped 2 Tablespoons of fresh mint (2 g), chopped 1 clove of garlic (3 g), minced or finely diced 2 Tablespoons of olive oil (30 ml) 1 Tablespoon of lemon juice (15 ml) Salt and pepper, to taste"
173,Keto Carrot Bacon Egg Muffins,"15 slices of bacon (420 g), diced 14 medium eggs (686 g), whisked 2 cups of coconut cream (480 ml) (from the top of 4 cans of refrigerated coconut milk) 6 carrots (300 g), peeled and shredded"
174,Keto Portuguese Cod with Spinach Almond Migas,"For the cod - 2 filets of cod (340 g), defrosted if frozen 1 Tablespoon of salt (15 g) 0.25 cup of olive oil (60 ml), to cook with 0.25 cup of fresh parsley (4 g), chopped 6 cloves of garlic (18 g), minced or finely diced For the migas - 2 Tablespoons of olive oil (30 ml), to cook with 4 cups of spinach (120 g), roughly chopped 0.25 cup of almond flour (30 g) 2 cloves of garlic (6 g), minced or finely diced Salt and pepper, to taste"
